time,ax,ay,az,latitude,longitude,speed
2026-04-22T05:25:00.068Z,0.0764,0.0875,-0.2633,0.0,0.0,0.0
2026-04-22T05:25:00.671Z,-0.1245,0.086,0.5563,3.25364398,101.72967663,0.46000001
2026-04-22T05:25:01.274Z,-0.109,-0.0616,-0.3825,3.25364398,101.72967663,0.46000001
2026-04-22T05:25:01.877Z,-0.1142,0.1107,0.7441,3.25364398,101.72967663,0.46000001
2026-04-22T05:25:02.579Z,0.0548,0.0505,0.0436,3.25364398,101.72967663,0.46000001
2026-04-22T05:25:03.181Z,-0.0473,-0.0071,0.0269,3.25364398,101.72967663,0.46000001
2026-04-22T05:25:03.786Z,-0.1011,-0.0063,-0.1314,3.25392088,101.7296389,0.18000001
2026-04-22T05:25:04.390Z,-0.0746,0.0771,-0.0841,3.25392088,101.7296389,0.18000001
2026-04-22T05:25:05.091Z,0.1585,-0.1394,-0.1671,3.25386388,101.7296081,0.0
2026-04-22T05:25:05.695Z,0.1008,0.0704,0.0259,3.25386388,101.7296081,0.0
2026-04-22T05:25:06.299Z,0.0047,0.0406,0.3123,3.2538518,101.72960183,0.0
2026-04-22T05:25:06.902Z,0.1502,-0.1854,-0.431,3.2538518,101.72960183,0.0
2026-04-22T05:25:07.604Z,-0.0107,-0.2648,0.4114,3.25384345,101.72959485,0.0
2026-04-22T05:25:08.207Z,-0.0094,0.0746,-1.0367,3.25384345,101.72959485,0.0
2026-04-22T05:25:08.810Z,-0.1118,-0.1769,0.8678,3.25384345,101.72959485,0.0
2026-04-22T05:25:09.513Z,0.0888,0.1851,2.0876,3.25385223,101.729592,0.0
2026-04-22T05:25:10.116Z,-0.1305,-0.2629,-0.8127,3.25385708,101.72958198,0.0
2026-04-22T05:25:10.717Z,-0.1873,-0.2964,0.0002,3.25385708,101.72958198,0.0
2026-04-22T05:25:11.322Z,0.2854,0.0944,-0.2988,3.2538537,101.72959953,0.0
2026-04-22T05:25:12.025Z,0.0872,-0.0003,0.1381,3.2538537,101.72959953,0.0
2026-04-22T05:25:12.631Z,0.0768,-0.0444,-0.3347,3.2538537,101.72959953,0.0
2026-04-22T05:25:13.231Z,-0.7047,-0.5535,0.9684,3.25384454,101.7296019,0.0
2026-04-22T05:25:13.835Z,-0.0679,-0.0582,2.0948,3.25384454,101.7296019,0.0
2026-04-22T05:25:14.539Z,-0.3486,-0.1525,1.0176,3.2538548,101.72960032,0.37
2026-04-22T05:25:15.143Z,0.7262,-0.3941,-0.0529,3.25386473,101.72960181,0.0
2026-04-22T05:25:15.745Z,0.9752,-0.4152,0.7366,3.25386473,101.72960181,0.0
2026-04-22T05:25:16.448Z,0.0556,0.1747,0.1639,3.25386473,101.72960181,0.0
2026-04-22T05:25:17.051Z,-0.0093,0.0657,-0.0468,3.25386473,101.72960181,0.0
2026-04-22T05:25:17.654Z,0.143,0.0384,0.0627,3.25386473,101.72960181,0.0
2026-04-22T05:25:18.258Z,-0.0658,0.1517,0.193,3.25386473,101.72960181,0.0
2026-04-22T05:25:18.962Z,0.1603,0.6191,0.0052,3.25386473,101.72960181,0.0
