time,ax,ay,az,latitude,longitude,speed
2026-04-22T05:25:43.899Z,1.4444,0.7295,0.7558,3.25362717770943,101.72967434076963,0.0358
2026-04-22T05:25:44.092Z,-0.9677,0.8528,1.4123,3.253632731868965,101.72967661771672,0.1057
2026-04-22T05:25:44.303Z,-4.8635,-0.2594,-1.645,3.253632731868965,101.72967661771672,0.1057
2026-04-22T05:25:44.503Z,0.1319,0.4128,6.0381,3.253632731868965,101.72967661771672,0.1057
2026-04-22T05:25:44.712Z,-0.9799,0.1788,-3.9111,3.253632731868965,101.72967661771672,0.1057
2026-04-22T05:25:44.923Z,-1.243,1.7415,-3.0828,3.253632731868965,101.72967661771672,0.1057
2026-04-22T05:25:45.122Z,-4.3247,0.243,4.8332,3.2536464724864747,101.72967297087666,0.4364
2026-04-22T05:25:45.333Z,2.5192,1.5661,-5.2811,3.2536464724864747,101.72967297087666,0.4364
2026-04-22T05:25:45.532Z,1.4856,-1.6752,5.7293,3.2536464724864747,101.72967297087666,0.4364
2026-04-22T05:25:45.743Z,-4.0202,2.1571,-9.54,3.2536464724864747,101.72967297087666,0.4364
2026-04-22T05:25:45.954Z,1.9528,-1.5707,6.1596,3.2536464724864747,101.72967297087666,0.4364
2026-04-22T05:25:46.153Z,0.2558,0.6128,-6.9498,3.2536553416074256,101.72965818351292,1.2617
2026-04-22T05:25:46.364Z,1.5767,0.9166,3.4226,3.2536553416074256,101.72965818351292,1.2617
2026-04-22T05:25:46.563Z,-5.7305,2.4879,-5.8399,3.2536553416074256,101.72965818351292,1.2617
2026-04-22T05:25:46.772Z,1.4783,-1.9672,-0.6903,3.2536553416074256,101.72965818351292,1.2617
2026-04-22T05:25:46.983Z,3.7967,-4.1658,13.3183,3.2536553416074256,101.72965818351292,1.2617
2026-04-22T05:25:47.183Z,-4.2088,2.7217,-8.8774,3.253677364859115,101.72965420320648,1.6249
2026-04-22T05:25:47.394Z,-2.7615,-0.9088,11.8794,3.253677364859115,101.72965420320648,1.6249
2026-04-22T05:25:47.593Z,1.4159,1.1625,-5.9297,3.253677364859115,101.72965420320648,1.6249
2026-04-22T05:25:47.804Z,1.7385,-3.8,12.5641,3.253677364859115,101.72965420320648,1.6249
2026-04-22T05:25:48.013Z,-3.2931,1.6347,-7.0565,3.253677364859115,101.72965420320648,1.6249
2026-04-22T05:25:48.213Z,-4.195,-1.115,4.5915,3.253698840045385,101.72964362963587,2.1704
2026-04-22T05:25:48.423Z,0.8574,1.8313,1.4896,3.253698840045385,101.72964362963587,2.1704
2026-04-22T05:25:48.633Z,1.1506,0.9811,-3.6315,3.253698840045385,101.72964362963587,2.1704
2026-04-22T05:25:48.833Z,-0.6517,0.3881,4.1001,3.253698840045385,101.72964362963587,2.1704
2026-04-22T05:25:49.043Z,0.8538,-1.3224,-5.2556,3.253721625008493,101.7296357428484,2.386
2026-04-22T05:25:49.242Z,0.7217,-2.5022,7.2927,3.253721625008493,101.7296357428484,2.386
2026-04-22T05:25:49.453Z,-4.5572,-2.9373,9.1058,3.253721625008493,101.7296357428484,2.386
2026-04-22T05:25:49.663Z,6.9775,0.4906,-9.0357,3.253721625008493,101.7296357428484,2.386
2026-04-22T05:25:49.864Z,2.1916,0.4191,-0.6732,3.253721625008493,101.7296357428484,2.386
2026-04-22T05:25:50.073Z,-6.0688,1.7629,-2.6312,3.253745014841798,101.72961848101068,2.8122
2026-04-22T05:25:50.273Z,3.1762,-2.2435,-0.4396,3.253745014841798,101.72961848101068,2.8122
2026-04-22T05:25:50.483Z,1.6381,-4.2868,6.451,3.253745014841798,101.72961848101068,2.8122
2026-04-22T05:25:50.694Z,-2.7484,3.9103,-3.9267,3.253745014841798,101.72961848101068,2.8122
2026-04-22T05:25:50.893Z,0.3617,-2.9237,7.2087,3.253745014841798,101.72961848101068,2.8122
2026-04-22T05:25:51.103Z,1.5067,0.9398,-5.3515,3.253767705012057,101.72961356254004,2.7648
2026-04-22T05:25:51.303Z,2.0102,-0.7441,3.7844,3.253767705012057,101.72961356254004,2.7648
2026-04-22T05:25:51.512Z,-5.1655,0.665,-6.7132,3.253767705012057,101.72961356254004,2.7648
2026-04-22T05:25:51.722Z,1.9643,-1.8828,2.7489,3.253767705012057,101.72961356254004,2.7648
2026-04-22T05:25:51.923Z,2.0548,-2.4177,1.7437,3.253767705012057,101.72961356254004,2.7648
2026-04-22T05:25:52.133Z,-0.8875,1.9591,-0.9251,3.2537858087652207,101.7296063429853,2.4777
2026-04-22T05:25:52.343Z,-2.4115,-1.8006,6.0569,3.2537858087652207,101.7296063429853,2.4777
2026-04-22T05:25:52.542Z,-0.0291,-4.1472,7.4708,3.2537858087652207,101.7296063429853,2.4777
2026-04-22T05:25:52.753Z,-0.4393,2.475,-2.1986,3.2537858087652207,101.7296063429853,2.4777
2026-04-22T05:25:52.953Z,0.0677,0.2616,5.4157,3.2537858087652207,101.7296063429853,2.4777
2026-04-22T05:25:53.163Z,0.7441,0.0807,-4.654,3.253811937857999,101.72959970356864,2.6681
2026-04-22T05:25:53.372Z,0.117,-0.1288,2.6111,3.253811937857999,101.72959970356864,2.6681
2026-04-22T05:25:53.572Z,-4.0967,1.3273,-3.5307,3.253811937857999,101.72959970356864,2.6681
2026-04-22T05:25:53.783Z,2.0753,-1.5298,4.9665,3.253811937857999,101.72959970356864,2.6681
2026-04-22T05:25:53.983Z,0.3459,1.6824,-4.9036,3.253811937857999,101.72959970356864,2.6681
2026-04-22T05:25:54.193Z,1.8125,0.3635,-2.0295,3.253831010796083,101.72959388481108,2.4558
2026-04-22T05:25:54.403Z,-4.7525,2.0765,-7.4126,3.253831010796083,101.72959388481108,2.4558
2026-04-22T05:25:54.603Z,2.9337,-2.3238,3.1673,3.253831010796083,101.72959388481108,2.4558
2026-04-22T05:25:54.813Z,1.8169,-1.9437,6.761,3.253831010796083,101.72959388481108,2.4558
2026-04-22T05:25:55.013Z,-2.0333,1.3563,-3.3879,3.253831010796083,101.72959388481108,2.4558
2026-04-22T05:25:55.223Z,-0.3345,-0.3347,6.1058,3.253848721656682,101.72958550432502,2.5097
2026-04-22T05:25:55.433Z,1.7793,-0.51,-5.1726,3.253848721656682,101.72958550432502,2.5097
2026-04-22T05:25:55.634Z,1.1623,-0.2935,6.2076,3.253848721656682,101.72958550432502,2.5097
2026-04-22T05:25:55.843Z,-0.3483,-1.0483,-5.3412,3.253848721656682,101.72958550432502,2.5097
2026-04-22T05:25:56.053Z,-1.6092,-1.2641,3.3116,3.253868944123527,101.729575646745,2.6527
2026-04-22T05:25:56.253Z,0.1927,-0.3831,-3.8138,3.253868944123527,101.729575646745,2.6527
2026-04-22T05:25:56.463Z,-1.1758,-1.4883,-2.2182,3.253868944123527,101.729575646745,2.6527
2026-04-22T05:25:56.663Z,-2.1439,0.0955,-5.8781,3.253868944123527,101.729575646745,2.6527
2026-04-22T05:25:56.873Z,4.4623,-0.6434,0.4165,3.253868944123527,101.729575646745,2.6527
2026-04-22T05:25:57.082Z,4.3348,-2.6896,4.2177,3.253899189281925,101.72957365789132,2.9467
2026-04-22T05:25:57.283Z,-0.3764,1.3525,-4.8686,3.253899189281925,101.72957365789132,2.9467
2026-04-22T05:25:57.493Z,2.0589,0.2094,1.6306,3.253899189281925,101.72957365789132,2.9467
2026-04-22T05:25:57.695Z,0.9854,0.5785,-7.3483,3.253899189281925,101.72957365789132,2.9467
2026-04-22T05:25:57.904Z,-1.4166,-2.1252,5.8326,3.253899189281925,101.72957365789132,2.9467
2026-04-22T05:25:58.112Z,-1.5278,1.3889,-8.4384,3.2539205796406,101.72956717308196,2.737
2026-04-22T05:25:58.312Z,-1.0149,-2.2917,6.9364,3.2539205796406,101.72956717308196,2.737
2026-04-22T05:25:58.522Z,2.5821,0.0526,-5.2233,3.2539205796406,101.72956717308196,2.737
2026-04-22T05:25:58.723Z,5.7676,2.8591,4.2889,3.2539205796406,101.72956717308196,2.737
2026-04-22T05:25:58.932Z,-3.7725,-0.6229,-3.4334,3.2539205796406,101.72956717308196,2.737
2026-04-22T05:25:59.143Z,0.6064,-0.4206,-1.2801,3.253944352637629,101.72955595206864,2.5999
